id,report_id,name,title,table,clean_at,id_modal,modal_width,method,type,dynamic_attach,url_load,url_save,class,language_name,template,data,is_enabled,id_child,created_at,updated_at
1,1,menu,"Configurazione Menu",menus,4,NULL,50%,POST,editable,NULL,NULL,NULL,form-horizontal,NULL,NULL,view:ict::forms.builder,1,NULL,"2021-06-10 17:06:05","2021-07-16 12:10:32"
2,2,report,"Conf. Report",reports,20,NULL,50%,POST,editable,NULL,NULL,NULL,form-horizontal,NULL,NULL,view:ict::forms.builder,1,4,"2021-06-10 17:06:05","2023-08-10 13:15:08"
3,1,menu,"filtro menu",menus,3,NULL,50%,POST,filter,NULL,NULL,NULL,col-md-12,NULL,NULL,view:ict::forms.builder,1,NULL,"2021-06-10 17:06:05","2021-07-14 08:27:30"
4,3,reportcol,"Colonne report",report_columns,6,modalReportCols,70%,POST,editable,NULL,call.load.reportcols,call.save.reportcols,col-md-12,NULL,NULL,view:ict::forms.builder,1,NULL,"2021-06-10 17:06:05","2021-07-13 12:33:08"
5,2,report,"Filtro report",reports,4,NULL,50%,POST,filter,NULL,NULL,NULL,col-md-12,NULL,NULL,view:ict::forms.builder,1,NULL,"2021-06-10 17:06:05","2021-07-14 08:27:41"
6,3,reportcol,"filtro report cols",report_columns,4,NULL,50%,POST,filter,NULL,NULL,NULL,col-md-12,NULL,NULL,view:ict::forms.builder,1,NULL,"2021-06-10 17:06:05","2023-09-04 13:14:51"
7,4,form,"Edit Form",forms,4,modaFormItems,80%,POST,editable,NULL,call.load.formitems,call.save.formitems,col-md-12,NULL,NULL,view:ict::forms.builder,1,8,"2021-07-12 13:06:05","2021-12-20 11:41:53"
8,5,formfield,"Edit form fields",form_fields,5,modaFormItems,80%,POST,editable,NULL,call.load.formitems,call.save.formitems,col-md-12,NULL,NULL,view:ict::forms.builder,1,NULL,"2021-07-12 13:06:05","2021-07-26 11:52:41"
9,4,form,"Filtro form",forms,4,NULL,50%,POST,filter,NULL,NULL,NULL,col-md-12,NULL,NULL,view:ict::forms.builder,1,NULL,"2021-07-13 12:21:10","2024-10-21 12:54:19"
10,5,formfield,"Fields Filter",form_fields,4,NULL,50%,POST,filter,NULL,NULL,NULL,col-md-12,NULL,NULL,view:ict::forms.builder,1,NULL,"2021-07-18 14:32:31","2021-07-26 11:52:35"
11,6,profiles,"form Profili",profiles,4,NULL,50%,POST,editable,NULL,NULL,NULL,col-md-12,NULL,NULL,view:form.profile,1,12,"2022-02-26 14:33:12","2022-02-26 17:56:17"
12,7,roles,"Ruoli e permessi",profile_roles,5,modalRoles,80%,POST,editable,NULL,call.load.role,call.save.role,col-md-12,NULL,NULL,view:ict::forms.builder,1,NULL,"2022-02-26 15:39:43","2024-06-11 10:00:28"
13,7,roles,"Filtro ruoli profili",profile_roles,3,NULL,50%,GET,filter,NULL,NULL,NULL,col-md-12,NULL,NULL,view:ict::forms.builder,1,NULL,"2022-02-26 15:39:43","2022-02-26 15:39:43"
14,8,options,"Configurazione parametri utilità",options,4,NULL,50%,POST,editable,NULL,NULL,NULL,col-md-12,NULL,NULL,view:ict::forms.builder,1,NULL,"2022-02-26 15:39:43","2022-02-26 15:39:43"
15,8,options,"Filter parametri utilità",options,4,NULL,50%,POST,filter,NULL,NULL,NULL,col-md-12,NULL,NULL,view:ict::forms.builder,1,NULL,"2022-02-26 15:39:43","2022-02-26 15:39:43"
16,10,authors,"Form autori",authors,4,NULL,50%,POST,editable,0,NULL,NULL,col-md-12,NULL,NULL,view:ict::forms.builder,1,17,"2026-02-18 11:33:36","2026-02-18 11:55:10"
17,9,books,"Form libri",books,4,NULL,50%,POST,editable,0,load.books,save.books,col-sm-12,NULL,NULL,view:ict::forms.builder,1,NULL,"2026-02-18 12:58:18","2026-02-18 14:51:30"
