id,code,label,reference,icon,class,is_enabled,created_at,updated_at
1,cancel,Annulla/Disabilita,DELETE,NULL,NULL,1,"2021-07-20 10:42:26","2021-07-20 10:42:26"
2,destroy,"Elimina da DB",DELETE,NULL,NULL,1,"2021-07-20 10:42:26","2021-07-20 10:42:26"
3,0,Disabled,ED,NULL,"text-danger font-weight-bolder",1,"2021-06-17 10:42:26","2021-06-17 10:42:26"
4,1,Enabled,ED,NULL,"text-success font-weight-bolder",1,"2021-06-17 10:42:26","2021-06-17 10:42:26"
5,1,Gennaio,MONTH,NULL,NULL,1,"2021-07-02 13:42:26","2021-07-02 13:42:26"
6,2,Febbraio,MONTH,NULL,NULL,1,"2021-07-02 13:42:26","2021-07-02 13:42:26"
7,3,Marzo,MONTH,NULL,NULL,1,"2021-07-02 13:42:26","2021-07-02 13:42:26"
8,4,Aprile,MONTH,NULL,NULL,1,"2021-07-02 13:42:26","2021-07-02 13:42:26"
9,5,Maggio,MONTH,NULL,NULL,1,"2021-07-02 13:42:26","2021-07-02 13:42:26"
10,6,Giugno,MONTH,NULL,NULL,1,"2021-07-02 13:42:26","2021-07-02 13:42:26"
11,7,Luglio,MONTH,NULL,NULL,1,"2021-07-02 13:42:26","2021-07-02 13:42:26"
12,8,Agosto,MONTH,NULL,NULL,1,"2021-07-02 13:42:26","2021-07-02 13:42:26"
13,9,Settembre,MONTH,NULL,NULL,1,"2021-07-02 13:42:26","2021-07-02 13:42:26"
14,10,Ottobre,MONTH,NULL,NULL,1,"2021-07-02 13:42:26","2021-07-02 13:42:26"
15,11,Novembre,MONTH,NULL,NULL,1,"2021-07-02 13:42:26","2021-07-02 13:42:26"
16,12,Dicembre,MONTH,NULL,NULL,1,"2021-07-02 13:42:26","2021-07-02 13:42:26"
17,string,String,TYPECOLS,NULL,NULL,1,"2021-06-24 10:42:26","2021-06-24 10:42:26"
18,int,Int,TYPECOLS,NULL,NULL,1,"2021-06-24 10:42:26","2021-06-24 10:42:26"
19,date,Date,TYPECOLS,NULL,NULL,1,"2021-06-24 10:42:26","2021-06-24 10:42:26"
20,dateTime,DateTime,TYPECOLS,NULL,NULL,1,"2021-06-24 10:42:26","2021-06-24 10:42:26"
21,enum,Enum,TYPECOLS,NULL,NULL,1,"2021-06-24 10:42:26","2021-06-24 10:42:26"
22,currency,Currency,TYPECOLS,NULL,NULL,1,"2021-07-24 10:42:26","2021-07-24 10:42:26"
23,integer,"Nr intero",TYPECOLS,NULL,NULL,1,"2022-12-24 10:42:26","2022-12-24 10:42:26"
24,float,"Nr decimale",TYPECOLS,NULL,NULL,1,"2022-12-24 10:42:26","2022-12-24 10:42:26"
25,percent,Percentuale,TYPECOLS,NULL,NULL,1,"2022-12-24 10:42:26","2022-12-24 10:42:26"
26,array,"Multi valore",TYPECOLS,NULL,NULL,1,"2023-08-30 10:42:26","2023-08-31 09:28:19"
27,alert,Alert,TYPECOLS,NULL,NULL,1,"2021-07-24 10:42:26","2021-07-24 10:42:26"
28,link,Link,TYPECOLS,NULL,NULL,1,"2021-07-07 10:42:26","2021-07-07 10:42:26"
29,relations,"Stringa valori model",TYPECOLS,NULL,NULL,1,"2021-06-24 10:42:26","2021-06-24 10:42:26"
30,switch,Switch,TYPECOLS,NULL,NULL,1,"2021-06-24 10:42:26","2021-06-24 10:42:26"
31,match,"Confronto dati",TYPECOLS,NULL,NULL,1,"2021-06-24 10:42:26","2021-06-24 10:42:26"
32,directLink,"Link diretto",TYPECOLS,NULL,NULL,1,"2021-06-24 10:42:26","2021-06-24 10:42:26"
33,text,text,TYPEDATA,NULL,NULL,1,"2021-06-24 10:42:26","2021-06-24 10:42:26"
34,number,number,TYPEDATA,NULL,NULL,1,"2021-06-24 10:42:26","2021-06-24 10:42:26"
35,date,date,TYPEDATA,NULL,NULL,1,"2021-06-24 10:42:26","2021-06-24 10:42:26"
36,select,select,TYPEDATA,NULL,NULL,1,"2021-06-24 10:42:26","2021-06-24 10:42:26"
37,hidden,hidden,TYPEDATA,NULL,NULL,1,"2021-06-24 10:42:26","2021-06-24 10:42:26"
38,textarea,textarea,TYPEDATA,NULL,NULL,1,"2021-09-16 10:42:26","2021-09-16 10:42:26"
39,file,file,TYPEDATA,NULL,NULL,1,"2021-09-17 10:42:26","2021-09-17 10:42:26"
40,checkbox,checkbox,TYPEDATA,NULL,NULL,1,"2022-03-21 10:42:26","2022-03-21 10:42:26"
41,button,button,TYPEDATA,NULL,NULL,1,"2022-03-21 10:42:26","2022-03-21 10:42:26"
42,editable,Insert/Edit,TYPEFORM,"fa fa-edit",text-primary,1,"2021-07-12 10:42:26","2023-08-31 08:12:08"
43,filter,Filter,TYPEFORM,"fas fa-search",text-danger,1,"2021-07-12 10:42:26","2023-08-31 08:11:54"
44,modal,Modal,TYPEFORM,"far fa-window-maximize",text-success,1,"2021-09-20 22:00:00","2021-09-20 22:00:00"
45,child,"Item Child",TYPEFORM,NULL,NULL,1,"2021-07-12 10:42:26","2021-07-12 10:42:26"
46,0,No,YN,NULL,"text-danger font-weight-bolder",1,"2021-06-17 10:42:26","2021-06-17 10:42:26"
47,1,Si,YN,NULL,"text-success font-weight-bolder",1,"2021-06-17 10:42:26","2021-06-17 10:42:26"
48,multiselect,MultiSelect,TYPEDATA,NULL,NULL,1,"2026-02-21 10:42:26","2026-02-21 10:42:26"
49,daterange,"Date Range",TYPEDATA,NULL,NULL,1,"2026-02-21 10:42:26","2026-02-21 10:42:26"
50,crypted,Cryptato,TYPEDATA,NULL,NULL,1,"2021-06-24 10:42:26","2021-06-24 10:42:26"
51,crypted,Cryptato,TYPECOLS,NULL,NULL,1,"2021-06-24 10:42:26","2021-06-24 10:42:26"
